date,Főváros,Város,Nagyközség,Község,Megyeszékhely,Megyei jogú város
1994,1931743,2558392,1185081,2736057,1792119,220959
1995,1910898,2556756,1171943,2758519,1873456,219845
1996,1889000,2583329,1184720,2723670,1864396,218536
1997,1865768,2620240,1149011,2722103,1858061,217326
1998,1826384,2689645,1052533,2736841,1839538,215474
1999,1801483,2682649,1063955,2726522,1830095,214059
2000,1775587,2705905,1035155,2731903,1820442,213025
2001,1747305,2806204,942042,2739028,1808409,211599
2002,1722093,2902854,847150,2738686,1797068,210269
2003,1726872,2903838,866745,2740190,1795670,209982
2004,1706927,2925985,842841,2739694,1782446,208527
2005,1674882,3028914,730017,2736032,1767542,206582
2006,1690109,3125765,645323,2738881,1770880,207447
2007,1684523,3053911,661188,2728796,1764502,269127
2008,1694005,3122276,608968,2711571,1826952,206227
2009,1695023,3167690,565718,2705969,1761239,269726
2010,1694942,3255026,472457,2698659,1756460,269238
2011,1694900,3243450,471179,2688589,1750611,269389
2012,1694426,3233217,469718,2679323,1745985,269051
2013,1694614,3224346,469045,2669975,1741601,268606
2014,1698406,3314377,388932,2644691,1737300,267743
2015,1704649,3306792,388431,2640965,1731986,267347
2016,1705272,3299234,388112,2637679,1725580,266783
2017,1697367,3293047,388048,2634902,1715589,265908
2018,1693051,3286511,387589,2631536,1706545,265221
